text,drug,effect
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,decrease in the D-dimers
"During the first days of arsenic trioxide treatment a rapid decrease in the D-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes.",arsenic trioxide,slight decrease in peripheral blood leukocytes
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,chills
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,fatigue
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,fever
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,"generalized, pruritic, macular eruption"
"A 22-year-old black man developed fever, chills, fatigue, night sweats, tender lymphadenopathy, and a generalized, pruritic, macular eruption 3 weeks after starting minocycline therapy for acne.",minocycline,night sweats
"With the negative viral serologies, the clinical picture was most consistent with an infectious mononucleosis-like syndrome produced by the minocycline ingestion.", minocycline,mononucleosis-like syndrome
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,5-FU,life-threatening toxicity
We now report the first known cancer patient who developed life-threatening complications after treatment with topical 5-FU and was shown subsequently to have profound DPD deficiency.,5-FU,life-threatening complications
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,venlafaxine,acute ischaemic event
The association of venlafaxine treatment with ischaemic events could be explained by its unique pharmacological and haemodynamic properties.,venlafaxine,ischaemic events
This is the first report of a possible association between an acute cardiovascular event and venlafaxine.,venlafaxine,acute cardiovascular event
"We present a case of an elderly woman with a pre-existing history of ischaemic heart disease, who was treated with venlafaxine, and developed acute myocardial ischaemia within the first week of treatment.",venlafaxine,acute myocardial ischaemia
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,cyclophosphamide,embryopathy
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,embryopathy
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,multiple congenital anomalies
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,blepharophimosis
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,craniosynostosis
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,developmental delay
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,distal limb defects
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,flat nasal bridge
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,hypoplastic thumbs
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,oligodactyly
"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",cyclophosphamide,human teratogen
"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",phenytoin,seizures
Paradoxical seizures in phenytoin toxicity.,phenytoin,seizures
"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",phenytoin,seizures
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,losartan,angioedema
Losartan-induced angioedema.,Losartan,angioedema
OBJECTIVE: To report a case of angioedema associated with losartan administration.,losartan,angioedema
"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",losartan,angioedema
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,danazol,hepatic adenomas
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,Heparin,thrombocytopenia
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,heparin,thrombocytopenia
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.",heparin,thrombocytopenia
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,hemorrhagic complications
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,thrombocytopenia
Taxane-induced glaucoma.,Taxane,glaucoma
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,doxetaxel,glaucoma
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,sodium phosphate,hyperphosphatemia
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium biphosphate,hyperphosphatemia
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium phosphate,hyperphosphatemia
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,Prolongation of the QT interval
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,ventricular tachyarrhymias
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,amiodarone,torsades de pointes
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,diphenylhydantoin,gingival hyperplasia
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,anemia
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,anemia
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,thrombocytopenia
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,thrombocytopenia
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,D-Pen,bicytopenia
In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.,D-penicillamine,inhibition of hematopoiesis
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,D-Pen,bicytopenia
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,methimazole,agranulocytosis
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,alendronate sodium,hypocalcemic tetany
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,fleet phospho-soda,hypocalcemic tetany
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,alendronate,hypocalcemic tetany
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fleet Phospho-Soda,hypocalcemic tetany
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fosamax,hypocalcemic tetany
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,alendronate,hypophosphatemia
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fleet Phospho-Soda,hypophosphatemia
This case report describes a patient who was previously prescribed alendronate (Fosamax) and presented with postoperative hypophosphatemia and hypocalcemic tetany after bowel preparation with Fleet Phospho-Soda.,Fosamax,hypophosphatemia
Described here are 2 patients who developed thrombotic microangiopathy of the kidneys after receiving high cumulative doses of the new anticancer drug gemcitabine.,gemcitabine,thrombotic microangiopathy
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,gemcitabine,renal failure
Thrombotic microangiopathy with renal failure in two patients undergoing gemcitabine chemotherapy.,gemcitabine,Thrombotic microangiopathy
The first patient was a 61-year-old man with a 30-year history of fistulizing CD in whom B-cell non-Hodgkin's lymphoma was diagnosed 9 months after treatment with infliximab.,infliximab,B-cell non-Hodgkin's lymphoma
The relationship between infliximab treatment and lymphoma in Crohn's disease.,infliximab,lymphoma
The second is a 29-year-old man with CD in whom nodular sclerosing Hodgkin's lymphoma was diagnosed 3 weeks after infusion with infliximab.,infliximab,nodular sclerosing Hodgkin's lymphoma
We describe the clinical course of 2 patients with Crohn's disease (CD) in whom lymphoma was diagnosed after treatment with infliximab.,infliximab,lymphoma
Codeine intoxication in the neonate.,Codeine,Codeine intoxication
"We report a case of codeine intoxication in the neonate, in which the drug was prescribed for cough control during an emergency department visit.",codeine,codeine intoxication
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,Hydroxyurea,increase fetal hemoglobin
Hydroxyurea (HU) and sodium phenylbutyrate (SPB) have been shown to increase fetal hemoglobin (Hb F) levels in patients with thalassemia intermedia.,sodium phenylbutyrate,increase fetal hemoglobin
"Of the four patients who responded to HU with an increase in total Hb, all reported symptomatic improvement and three have not required further transfusions.",HU,increase in total Hb
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,HU,hepatic toxicity
Prolonged responses were achieved with low doses of HU (3-10 mg/kg/day) and higher doses were associated with mild reversible hematologic or hepatic toxicity and no further increases in Hb.,HU,mild reversible hematologic
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",HU,increasing Hb F
"Sodium phenylbutyrate was added to treatment with HU in two patients, but failed to produce an increase in total Hb despite increasing Hb F levels.",Sodium phenylbutyrate,increasing Hb F
We conclude that low-dose HU therapy in patients with thalassemia intermedia may increase total Hb levels sufficiently to eliminate the need for transfusions.,HU,increase total Hb
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",HU,increases in total Hb
"We describe the clinical response, as determined by increases in total Hb and decreased transfusion needs, in five patients with thalassemia intermedia treated with HU alone or in combination with SPB.",SPB,increases in total Hb
"A 36-y-o patient with schizophrenia, who had consumed gradually increasing quantities of oolong tea that eventually reached 15 L each day, became delirious and was admitted to a psychiatric hospital.",oolong tea,delirious
After abstinence from oolong tea his delirium resolved.,oolong tea,delirium
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,caffeine,caffeine intoxication
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,oolong tea,caffeine intoxication
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,caffeine,rhabdomyolysis
Severe rhabdomyolysis following massive ingestion of oolong tea: caffeine intoxication with coexisting hyponatremia.,oolong tea,rhabdomyolysis
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,delirium
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,hyponatremia
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,rhabdomyolysis
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.",caffeine,rhabdomyolysis
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,caffeine,rhabdomyolysis
The possibility of severe rhabdomyolysis should be considered in a patient with water intoxication due to massive ingestion of caffeine-containing beverages.,caffeine,water intoxication
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,caffeine toxicity
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,coexisting hyponatremia
"We hypothesize that caffeine toxicity injured the muscle cells, which were fragile due to the potassium depletion induced by the coexisting hyponatremia, to result in unusually severe rhabdomyolysis.",caffeine,injured the muscle cells
