"damage_class","narr_cause"
"Substantial","The pilot's improper use of the carburetor heat control.  Factors in the accident were the presence of carburetor icing conditions, and snow-covered terrain that was unsuitable for a forced landing."
"Substantial","a loss of right engine power due to chaffed and frayed wiring on the right and left magnetos on the right engine resulting in a forced landing, an inadvertent stall, and subsequent impact with the ground."
"Substantial","The student's failure to maintain directional control while landing in a crosswind, his improper compensation for wind conditions, and the flight instructor's inadequate flight supervision."
"Destroyed","the pilot's failure to maintain proper glide path during a practice instrument approach, which resulted in an in-flight collision with terrain.  Contributory factors to the accident were the dark night light condition and the safety pilot's inadequate monitoring of the practice approach."
"Destroyed","On ground collision with deer during landing roll."
"Substantial","the loss of engine power due to the pilot's inadequate preflight planning and exhaustion of his fuel supply."
"Destroyed","the pilot's failure to maintain control of the airplane due to spatial disorientation, which resulted in an in-flight collision with power lines and the subsequent impact with terrain.  A factor in this accident was:  the pilot's lack of recent instrument flight experience."
"Substantial","The dual student's improper recovery from a bounced landing, his failure to maintain directional control during the go-around, and the flight instructor's inadequate supervision of the go-around attempt."
"Destroyed","the pilot's exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist, an inadequately equipped airplane for flying in instrument meteorological conditions, and the pilot's overconfidence in his personal ability in that he had reportedly done this on two previous occasions."
"Substantial","The pilots failure to ensure adequate taxi clearance between aircraft.  A factor in the accident was glare from the morning sun."
"Substantial","The failure of the other pilot to ensure adequate taxi clearance between aircraft."
"Substantial","The inadvertent ground loop.  Factors associated with the accident were the pilot selected the wrong runway on which to land, the quartering tailwind, the icy runway, and the snow bank which the airplane contacted."
"Destroyed","The pilot's improper decision to takeoff and attempt VFR flight in IMC conditions."
"Substantial","The pilot's failure to apply adequate power during a practice autorotation.  A factor contributing to the accident was a rough/uneven area on the asphalt landing surface."
"Substantial","The failure of the pilot to maintain clearance from buildings during taxi."
"Substantial","THE LOSS OF ENGINE POWER FOR UNDETERMINED REASONS, A FACTOR WAS WEATHER CONDITIONS FAVORABLE FOR CARBURETOR ICING"
"Substantial","The pilots failure to ensure adequate taxi clearance between aircraft.  A factor in the accident was glare from the morning sun."
"Substantial","The failure of the other pilot to ensure adequate taxi clearance between aircraft."
"Substantial","THE OTHER MAINTENANCE PERSONNEL'S FAILURE TO COMPLETE PRESCRIBED INSPECTIONS THAT RESULTED IN  THE FAILURE OF A FUEL BLOCK DRAIN ASSEMBLY FITTING ,  CORROSION OF THE BATTERY GROUNDING STRAP AND THE SUBSEQUENT FLASH EXPLOSION."
"None","A malfunctioning relay in the aircraft's flight management system (FMS) switching matrix and associated false ""on course"" indication on the captain's course deviation indicator (CDI), resulting in proper localizer course alignment not being obtained or maintained and subsequent flight in close proximity to the new control tower.  The reason for the reported false ""on course"" indications on the first officer's CDI was not determined.  Factors contributing to the incident included low ceiling and obscuration, weak signal received by both localizer receivers due to faulty BNC connectors, and the new control tower."
"Substantial","failure to maintain directional control of the aircraft after an encounter with adverse weather during landing roll.  A factor was ground fog."
"Destroyed","The pilot's failure to maintain obstacle clearance.  Contributing factors were low altitude maneuvering and the transmission wire."
"Destroyed","The pilots failure to follow instrument flight procedures and descended below the published the minimum  descent altitude and subsequently collided with trees short of the runway."
"Substantial","the pilot's inadequate airplane preflight and the snow covered terrain.  A factor was the fuel exhaustion."
"Substantial","The pilots failure to maintain directional control during the landing roll, which resulted in the collision with the airport sign."
"Substantial","The pilot's failure to maintain adequate tail rotor clearance while maneuvering to land."
"Substantial","The pilot's failure to maintain clearance from the wires.  Contributing to the accident was the pilot's inadequate preflight inspection."
"Substantial","failure by the pilot to maintain directional control of the aircraft during landing roll.  A factor was the pilot's lack of experience in aircraft make and model."
"Substantial","The pilot's inadequate compensation for wind conditions during the takeoff roll.  A factor associated with the accident was a crosswind."
"Substantial","pilot's improper pre-flight planning and failure to follow the published checklist procedures, which resulted in ice and snow not being removed from the wings prior to take-off."
"Substantial","The pilot's failure to enter the correct altimeter setting, which resulted in continued flight below the decision height and a subsequent collision with trees."
"Substantial","The pilot's failure to maintain directional control during landing roll."
"Substantial","The pilots failure to maintain directional control of the airplane ,and subsequently  resulted in the collapse of the right main landing gear."
"Substantial","The CFI's delay in iniating remedial action to arrest the sink rate which developed on final approach.  Factors associated with the accident were the student pilot failed to maintain a proper glidepath on final approach and the snow bank which the airplane contacted."
"Destroyed","An in-flight fire for undetermined reasons. Finding: A factor is the  maintenance modification was performed by company personnel prior to the flight."
"Substantial","The partial blockage of the carburetor main metering jet orifice by contamination of undetermined origin. Factors include a snow-covered runway upon which the pilot executed a forced landing."
"Substantial","the proper glide path not attained by both pilots during a short field landing.  The snow bank was a contributing factor."
"None","The pilot's decision to perform an auto rollout on a snow contaminated runway, which had not been demonstrated, and which resulted in a loss of directional control, when the capability of the autoland system to maintain directional control was exceeded.  Factors were the failure of the control tower to ensure that the results of the latest MU reading were available to the pilots, the crosswind, and the snow covered runway."
"Substantial","the improper trim setting and the pilot failed to maintain control of the airplane. A factor was the snowbank."
"Destroyed","the pilot's failure to maintain obstacle clearance with the tower guy wire while the airplane was in cruise flight.  A contributing factor was the pilot's failure to update his navigation chart with the location of the tower during his preflight planning/preparation.  In addition, a contributing factor was the pilot's intentional flight of the airplane at a low altitude."
"Minor","The security guard failed to maintain clearance with the operating  tail rotor."
"Substantial","The pilot's improper preflight planning, which resulted in fuel exhaustion.  A factor was the pilot's lack of familiarity with the airplane."
"Destroyed","The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs.  Factors in the accident were dark night conditions, and the first officer's impairment from drugs."
"Substantial","The student's failure to maintain control of the airplane during the go-around and his premature retraction of the landing gear.  A factor was the flight instructor's inadequate supervision of the flight."
"Substantial","The pilot's inadequate compensation for a crosswind during the landing roll.  Factors in the accident were the presence of a crosswind, an icy runway and snow covered terrain, the pilot's inadequate preflight planning/preparation, and an inaccurate wind direction indicator."
"Destroyed","The pilot's failure to follow loss of engine power emergency procedures by not feathering the propeller following the loss of engine power for undetermined reasons, resulting in a descent and collision with trees and the ground."
"Destroyed","the pilot's continued visual flight rules (VFR) flight into instrument meteorological conditions (IMC), which resulted in an in-flight collision with terrain.  Contributing factors to the accident were the low clouds, reduced visibilities due to fog, and the dark night light condition."
"Destroyed","The pilot's failure to maintain aircraft control, and the subsequent inadvertent stall/mush.  Factors were the pilot's diverted attention due to the failure of the rear canopy's acrylic transparency and the loss of communication with his back seat passenger, the pilot's lack of recent experience in make/model airplane, the airplane's improper aft weight distribution (center of gravity), and the pilot's fatigue (circadian rhythm)."
"Substantial","The pilot's improper touchdown in the snow after the airplane became prematurely airborne during an attempted takeoff.  A factor was the pilot's inadequate training."
"Substantial","The pilots failure to maintain altitude/clearance from the terrain.  The dark night was a factor."
"Minor","The uncommanded deployment of the right flight spoiler due to the fatigue fracture of the spoiler lug."
"Substantial","maintenance personnel's improper installation of the throttle lever lock nut.  A contributory factor was the lack of suitable terrain for the forced landing."
"Substantial","The pilot's failure to maintain runway alignment during the landing roll."
"Substantial","The failure of the pilot under instruction to extend the landing gear during the landing approach.  A factor was the flight instructor's inadequate supervision."
"Substantial","The student pilot's failure to relinquish the flight controls while the CFI was demonstrating a takeoff to a hover. This resulted in an in-flight loss of directional control, in-flight collision with terrain, and subsequent roll over."
"Substantial","The pilot's failure to properly judge his altitude (too high) during a forced landing to a runway. The pilot made a 270-degree turn in an attempt to lose altitude resulting in a forced landing in a swampy/marshy area short of the runway. Contributing to the accident was a reported loss of engine power for undetermined reasons."
"Substantial","the pilot's excessive braking during the landing roll."
"Destroyed","The pilots spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation.  Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions."
"Substantial","The failure of the pilot to maintain directional control during takeoff."
"Substantial","the pilot's failure to maintain helicopter control during takeoff to a hover, which resulted in a dynamic rollover."
"Substantial","Aircraft control not maintained by the pilot during the landing roll.  Factors to the accident were the loss of engine power for undetermined reasons, the end of the runway being snow-covered, and the snowbank."
"Substantial","The worn condition of the hydraulic pump gears which resulted in a continuous running pump, subsequent pump motor overheat and eventually the tripping of the pump motor circuit breaker.  An additional cause was the pilot's failure to verify that the landing gear were down and locked.  A contributing factor was a partially blocked green annunciator light."
"Substantial","The pilot's failure to maintain airspeed, which resulted in an inadvertent stall/spin while on base leg."
"Substantial","The student pilot's failure to maintain directional control on landing rollout with a crosswind. This resulted in the airplane departing the runway, colliding with a berm/ridge, becoming airborne, and colliding with the terrain in a nose down attitude."
"Substantial","The pilot's failure to maintain aircraft control for undetermined reasons."
"Substantial","The pilot's failure to maintain directional control during the landing roll.  Factors were the crosswind and soft terrain condition."
"Destroyed","The pilot's failure to maintain a stabilized approach with an adequate vertical and lateral track.  Also causal was his failure to maintain obstacle clearance."
"Substantial","the student pilot's inadequate compensation for the crosswind during landing roll.  A contributing factor was the cross wind weather condition."
"Substantial","The airplanes' inadvertent collision with a swell during a water landing near a ferry boat that resulted the overload failure of the rear float/strut assembly."
"Substantial","The flight crew's misjudged flare while landing.  Factors associated with the accident were flat light conditions, snow-covered terrain, and an uphill runway grade."
"Substantial","The pilots failure to follow the auxiliary fuel tank procedures, which resulted in the fuel starvation and the loss of engine power."
"Substantial","The pilot's inadequate preflight preparation and the unsuitable terrain for takeoff encountered.  Factors included the slushy runway and the snowbank."
"Substantial","the pilot not maintaining altitude/clearance from the power line during the circling approach.  Factors were the power transmission wire, the plowed field, and that the pilot's lookout was not possible through the built up ice on the windshield."
"Substantial","Failure by the pilot to maintain directional control of the aircraft during landing roll.  A factor was lack of total pilot experience in aircraft  make and model."
"Substantial","The pilot's failure to maintain airspeed, which resulted in a hard landing.  Factor's in this accident were the loss of electrical power due to an alternator failure and the night light conditions."
"Substantial","A total loss of engine power for undetermined reasons.  Contributing to the accident was the rough/uneven terrain."
"Substantial","the pilot's poor inflight planning and decision making which resulted in his executing a precautionary landing in a soft field.  A contributing factor was the lack of suitable terrain for the precautionary landing."
"Substantial","The manufacturer's inadequate collective lock design, which resulted in the collective unlocking during a preflight check and subsequent unintentional liftoff and loss of helicopter control.  The pilot's loss of control was due in part to the unavailability of the hydraulic system."
"Destroyed","The pilot-in-command's lack of recent experience in instrument flight resulting in the pilot becoming spatially disoriented, and subsequent in-flight collision with water while descending."
"Substantial","The pilot failed to maintain directional control of the airplane due to inadequate compensation for the wind conditions.  Factors associated with the accident were the gusty crosswind,  the icy runway, and the snow bank."
"Substantial","The collapse of the left main landing gear during landing roll for undetermined reasons."
"Substantial","the pilot-in-command's inadequate preflight inspection, which resulted in a flight with a blocked fuel tank vent.  A contributing factor was maintenance personnel's failure to remove the tape covering the fuel tank vent following a pressure test."
"Substantial","The failure of the glider pilot to maintain adequate airspeed during a turn from base leg to final approach, which lead to a stall and spin."
"Substantial","the excessive touchdown airspeed and the directional control not maintained by the pilot.  The snow bank was a contributing factor."
"Substantial","The inadequate visual lookout by the MD-81's tug driver during the pushback operation."
"Substantial","The inadequate visual lookout by theMD-81's tug driver during the pushback operation."
"Substantial","the pilot's failure to apply carburetor heat prior to takeoff while operating in serious carburetor icing conditions. Factors include operating in serious carburetor icing conditions, and rough/uneven terrain in the area of the forced landing."
"Substantial","The manufacturer's inadequate design of the winglet/rudder assembly, and inadequate bonding techniques for metal to fiber structures, which  resulted in control surface flutter."
"Substantial","The pilot's lack of directional control on the landing roll, which resulted in a ground loop and inadvertent nose over."
"Substantial","The failure of the pilot to comply with emergency procedures contained in the Pilot's Operating Handbook, which resulted in an excessively rich mixture and loss of engine power."
"Minor","The inadequate visual lookout by the MD-81's tug driver during the pushback operation."
"Minor","The inadequate visual lookout by theMD-81's tug driver during the pushback operation."
"Substantial","the pilot's inattention during night taxiing, which resulted in his airplane impacting a parked airplane."
"Substantial","The fatigue failure in the fillet radius of the mast, which resulted in the separation of the main rotor system."
"Substantial","The total loss of engine power due to fracture and separation of the engine crankshaft."
"Destroyed","The pilot performed aerobatics at low altitude and failed to maintain clearance from the gound resulting in a collision with the terrain."
"Substantial","The pilot's inadequate preflight preparation with regards to runway choice, terrain, and performance capabilities of the airplane."
"Substantial","The mechanic's failure to properly install and secure the left main landing gear aft trunnion pin in accordance with procedures."
"Destroyed","The pilot not maintaining altitude/clearance from terrain during the low altitude maneuver. Factors were the wind gusts and the low altitude maneuver the pilot performed."
"Substantial","The pilot's collision with terrain due to his inadequate planning of the approach, and his failure to maintain the helicopter's main rotor RPM during a go-around.  Factors in the accident were a tailwind, flat lighting conditions, and snow-covered terrain."
"Destroyed","The pilot's failure to maintain control due to spatial disorientation."
"Substantial","The loss of engine power during takeoff initial climb resulting from an excessively rich fuel/air mixture, which fouled the spark plugs.  A factor was rough, unsuitable terrain for a forced landing."
"Destroyed","the failure of both pilots to maintain a visual lookout, which resulted in a mid-air collision over a lake.  A contributing factor to the accident was the sun glare from the setting sun."
"Destroyed","the failure of both pilots to maintain a visual lookout, which resulted in a mid-air collision over a lake.  A contributing factor to the accident was the sun glare from the setting sun."
"Substantial","the failure of the flight crew to follow the checklist prior to engine start, and their subsequent diverted attention during engine start."
"Substantial","loss of engine power for undetermined reasons."
"Substantial","The pilot's continued VFR flight into instrument meteorological conditions, and subsequent in-flight collision with terrain during descent.  Factors in the accident were the presence of fog, and snow-covered terrain."
"Substantial","The failure of the pilot to use carburetor heat during descent resulting in loss of engine power due to carburetor icing and the airplane colliding with a fence and nosing over during a forced landing."
"Substantial","loss of directional control due to a partial failure of the brake anti-skid system."
"Destroyed","The failure of the rudder horn bracket, that resulted in the inflight loss of control."
"Substantial","the failure of both pilots to maintain a visual lookout, which resulted in a mid-air collision over a lake.  A contributing factor to the accident was the sun glare from the setting sun."
"Substantial","the failure of both pilots to maintain a visual lookout, which resulted in a mid-air collision over a lake.  A contributing factor to the accident was the sun glare from the setting sun."
"Substantial","The pilot initiated the flight into known icing conditions which resulted in his ability to maintain control of the airplane.  Factors associated with the accident were the ice accumulation and the company induced pressure for the pilot to make the flight into the adverse weather conditions."
"Substantial","The pilot disregarded the aircraft limitation placard, and attempted flight into known adverse weather after receiving a hazardous weather advisory.   Factors to the accident were the ice-covered cockpit windshield, the ice-covered runway, and the snowbank."
"Substantial","Inflight loss of a tail rotor pitch change link-to-blade grip attach bolt, resulting partial loss of tail rotor control, and subsequent entanglement of the helicopter's external load cable with a tree during emergency descent.  Factors included the pilot's retention of external load equipment, and the tree in which the external load cable became entangled."
"Destroyed","the pilot's improper in-flight decision to continue flight into known adverse weather.  A factor was the icing conditions."
"Substantial","A loss of control during takeoff due to the helicopter's heavy gross weight condition that exceeded its lifting capability."
"Minor","the loss of engine power while manuevering as a result of an incorrect mixture control adjustment.  A contributing factor was the lack of suitable terrain for the ensuing forced landing."
"Substantial","The pilot's failure to properly preflight fuel required for the flight that resulted in fuel exhaustion and the lost of engine power."
"Destroyed","The pilot's decision to attempt flight with known deficiencies in the airplanes right engine, his failure to feather the right propeller after the engine failed , his failure to retract the landing gear following the engine failure, and his failure to maintain minimum single engine control speed (Vmc), resulting in loss of control of the airplane and impact with the ground during an uncontrolled descent."
"Destroyed","The flightcrew not maintaining altitude/clearance during the circling instrument approach.  Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling."
"Substantial","the pilot's failure to maintain altitude and clearance from terrain.  Contributing factors were the pilot's diverted attention and the low ceiling."
"Substantial","The pilot's failure to attain the proper touchdown point.  Factors included the nighttime conditions, and the pilot's improper decision to leave the runway lighting at high intensity."
"Substantial","The pilot rated passenger's failure to maintain directional control during the landing.  A factor was the snow berm which the aircraft rolled into during the landing."
"Substantial","Fuel starvation due to the pilot inadvertently shutting off its supply on approach for landing."
"Substantial","The failure of the pilot of N123WA and the failure of both pilots of N301NL to adequately insure visual separation between their aircraft and other aircraft in the landing pattern, resulting in a runway collision. Factors contributing to the accident were the pilots of both aircraft not using the correct UNICOM/CTAF frequency, and the pilot of N123WA executing a landing approach that conflicted with the traffic pattern entry recommended by the Aeronautical Information Manual for airports without operating control towers."
"Substantial","The failure of the pilot of N123WA and the failure of both pilots of N301NL to adequately insure visual separation between their aircraft and other aircraft in the landing pattern, resulting in a runway collision. Factors contributing to the accident were the pilots of both aircraft not using the correct UNICOM/CTAF frequency, and the pilot of N123WA executing a landing approach that conflicted with the traffic pattern entry recommended by the Aeronautical Information Manual for airports without operating control towers"
"Substantial","The failure of the pilot of N123WA and the failure of both pilots of N301NL to adequately insure visual separation between their aircraft and other aircraft in the landing pattern, resulting in a runway collision. Factors contributing to the accident were the pilots of both aircraft not using the correct UNICOM/CTAF frequency, and the pilot of N123WA executing a landing approach that conflicted with the traffic pattern entry recommended by the Aeronautical Information Manual for airports without operating control towers."
"Substantial","The failure of the pilot of N123WA and the failure of both pilots of N301NL to adequately insure visual separation between their aircraft and other aircraft in the landing pattern, resulting in a runway collision. Factors contributing to the accident were the pilots of both aircraft not using the correct UNICOM/CTAF frequency, and the pilot of N123WA executing a landing approach that conflicted with the traffic pattern entry recommended by the Aeronautical Information Manual for airports without operating control towers"
"Substantial","A failure of the transmission free wheeling unit due to improper maintenance.  A factor was the dark night visual condition."
"Substantial","The pilot-in-command's delayed decision to go-around and his failure to maintain sufficient airspeed during the attempted go-around.  His non-verification of the flap setting contributed to the accident."
"Substantial","Inadequate preflight planning/preparation which resulted in an adequate fuel supply for the flight and subsequently in fuel starvation.  A factor associated with the accident was the steep bank which the airplane contacted during the forced landing."
"Destroyed","the inadvertent stall/spin.  Additional factors included the aerobatic manuevers, low altitude, and the procedures not followed."
"Substantial","The pilots failure to maintain  flying speed during a soft field takeoff, that resulted in the loss of control and a stall/ spin."
"Destroyed","the pilot's failure to maintain altitude/clearance from terrain while performing low level aerobatics.  A factor was fatigue."
"Substantial","The flight instructor's inadequate supervision of his dual student who lost directional control on landing."
"Substantial","The flightcrew not lowering the landing gear and/or verifying the landing gear position as required by three separate checklists, which resulted in an inadvertent gear-up landing.  A factor to the accident was the flightcrew not complying with the required minimum equipment list placard that prohibited the silencing of the landing gear warning horn."
"Destroyed","The flight crew's loss of control for undermined reasons."
"Substantial","The pilot's improper flare, and  his evaluation of the gusty wind conditions resulted in the collision with the terrain."
"Substantial","an undetermined malfunction of the nose gear system which resulted in the  failure of the nose gear to fully extend and lock prior to landing."
"Destroyed","the pilot's failure to maintain terrain clearance.  Contributing factors were the dark night and the fog."
"Substantial","The failure of the instructor to take corrective action in a timely manner to prevent the helicopter from contacting the ground when the student allowed it to descend during hover practice which resulted in a dynamic rollover."
"Substantial","the pilot's delay in switching the fuel selector, which resulted in fuel starvation in cruise flight."
"Substantial","the pilot's failure to verify that the landing gear was down and locked before landing, which resulted in a wheels-up landing."
"Substantial","The pilot's failure to attain the proper touchdown point for landing.  A factor was weather conditions below published approach minimums."
"Destroyed","The pilot continued visual flight into instrument weather conditions that resulted in the inflight collision with a river bank. Factors were reduced visibility and dark night."
"Substantial","Aircraft control not maintained by the student pilot during the takeoff roll.  Factors to the accident were the student pilot's lack of experience and the snowbank."
"Destroyed","The loss of engine power due to undetermined reasons resulting in the forced landing.  A factor in the accident was the unsuitable terrain encountered during the forced landing."
"Destroyed","the pilot not maintaining altitude/clearance from the trees during takeoff.  Factors were the trees, transmission wire, and the dark night."
"Substantial","the pilot misjudged the flare resulting in a hard landing, and impact with the runway.  A factor in the accident was reduced visibility because of ground fog."
"Substantial","Failure of non-airframe and powerplant mechanic/certificated owners to properly install a new mixture cable that became entangled in the nose landing gear during its extension for landing, resulting in a loss of engine power."
"Substantial","The pilot's failure to disengage the parking brake prior to taxi and his failure to stop and investigate the brakes when they malfunctioned during taxi for takeoff resulting in the wheel brakes heating and starting the tires on fire."
"Substantial","A partial loss of engine power during initial takeoff climb due to the formation of carburetor ice.  A contributing factor was the pilot's improper pretakeoff actions.  A finding was that the improper rigging of the mixture control cable may have precluded establishment of the proper fuel/air combustion ratio."
"Substantial","the pilot's improper inflight planning/decision and failure to refuel en route and ensure an adequate supply of fuel to safely complete the flight to his destination with adequate reserves,  which resulted in fuel exhaustion, subsequent engine failure, and a forced landing into a wooded area at night."
"Substantial","the pilot's improper inflight planning/decision and inadequate fuel consumption calculations that resulted in fuel exhaustion and substantial damage to the aircraft  as a result of a hard landing during the emergency descent/landing."
"Destroyed","the pilot's inadvertent flight into instrument meteorological conditions and failure to maintain obstacle clearance.  Contributing factors were the pilot's failure to obtain an updated preflight weather briefing and the dark night conditions."
"Substantial","The pilot's failure to maintain directional control of the airplane during landing rollout."
"Substantial","The pilot's inadequate compensation for the existing crosswind condition and subsequent failure to maintain directional control during the landing rollout."
"Substantial","The pilot was unable to maintain directional control of the airplane when it contacted a patch of ice during the landing roll.  Factors associated with the accident were the ice and the snow bank which the airplane contacted and the pilot inadvertantly landed on a taxiway instead of a runway."
"Substantial","the checklist not followed and the wheels-up landing performed by the pilot.  The runway light was a contributing factor."
"Substantial","The flight instructor's inadequate supervision of the flight during the landing flare.  A factor in the accident was the student's abrupt airplane control."
"Destroyed","the pilot's inadvertent entry into a spin while performing aerobatic maneuvers.  A contributing factor was the pilot's lack of aerobatic experience."
"Substantial","the improper installation of the oil filter bypass valve by an unknown person, which resulted in the loss of engine oil and subsequent loss of total power during a normal descent.  A contributing factor to the accident was the lack of suitable terrain for the forced landing."
"Substantial","Damage to the No. 4 cylinder intake valve push rod tube at an undetermined time which resulted in the push rod rubbing on the push rod tube and failing due to wear, resulting in loss of engine power and damage to the airplane during a forced landing in a field."
"Substantial","the pilot's failure to maintain control of the airplane during landing. Contributing factors were the crosswind, the pilot exceeding the published maximum demonstrated crosswind component, and  the snow bank."
"Destroyed","The pilot flying at an altitude insufficient to clear surrounding terrain. Contributing factors were the pilot becoming lost/disoriented, his subsequent spatial disorientation, and dark night conditions."
"Substantial","The open exhaust valve.  Factors relating to the accident were the sticking exhaust valve guide and the snow drift the airplane encountered during the precautionary landing."
"Destroyed","The flights entry into a descending right turn for undetermined reasons resulting in the flight crashing into the ocean."
"Substantial","Altitude/clearance not maintained from the transmission wires during a low altitude flight/maneuver performed by the pilot.  A factor to the accident was the transmission wires."
"Substantial","The pilot-in-command's reverse application of cyclic to counteract a right drift during the takeoff roll in a gyroplane whose controls had been designed reverse of standard.  Contributing factors were the gusty wind conditions and the pilot's ""expectancy"" or reversion to habit patterns based on non-reversed controls from the majority of his flight experience."
"Substantial","inadequate visual lookout by the flight instructor on the helicopter's proximity to the snowbank, and subsequent lift off, which resulted in a dynamic rollover."
"Destroyed","The pilot encountering instrument meteorological conditions and his subsequent loss of control of the airplane."
"Substantial","Best rate-of-climb single-engine speed was not maintained.  Delayed remedial action was a factor."
